SN,Name of Car,Brand,Production Year,Old Price,New Price,Color,Type
1,2005 Toyota MR2,Toyota,2005," 18,900 ","19,656",Red,Convertible
2,2007 BMW M6,BMW,2007," 49,995 ","51,995",Black,Convertible
3,2023 Jeep Wrangler,Jeep,2023," 64,714 ","67,303",Silver Zynith,Convertible
4,2019 Mazda Miata MX-5,Mazda,2019," 38,888 ","40,444",White,Convertible
5,2022 Ford Bronco,Ford,2022," 75,178 ","78,185",SHADOW BLACK,Convertible
6,2017 Mercedes-Benz SLC,Mercedes-Benz,2017," 55,798 ","58,030",Red,Convertible
7,2017 Ford Mustang,Ford,2017," 45,800 ","47,632",Red,Convertible
8,2006 Ferrari F430,Ferrari,2006," 174,800 ","181,792",Red,Convertible
9,2018 Ford Mustang,Ford,2018," 48,989 ","50,949",ORANGE FURY METALLIC TRI-COAT,Convertible
10,2008 Volkswagen New Beetle,Volkswagen,2008," 12,900 ","13,416",Beige,Convertible
11,2005 Porsche Boxster,Porsche,2005," 25,991 ","27,031",Blue,Convertible
12,2010 Jeep Wrangler,Jeep,2010," 19,400 ","20,176",Black,Convertible
13,2023 Jeep Wrangler,Jeep,2023," 71,459 ","74,317",High Velocity,Convertible
14,2013 Ford Mustang,Ford,2013," 13,000 ","13,520",Black,Convertible
15,2022 Audi R8,Audi,2022," 264,990 ","275,590",Suzuka Gray Metallic,Convertible
16,2020 Ford Mustang,Ford,2020," 42,988 ","44,708",Dark Blue,Convertible
17,2019 Mercedes-Benz C-Class,Mercedes-Benz,2019," 64,800 ","67,392",Polar White,Convertible
18,2018 BMW M4,BMW,2018," 72,800 ","75,712",Tanzanite Blue Metallic,Convertible
19,2006 Chrysler PT Cruiser,Chrysler,2006," 8,988 ","9,348",,Convertible
20,2018 BMW 4 Series,BMW,2018," 46,910 ","48,786",Glacier Silver Metallic,Convertible
21,2011 Maserati GranTurismo,Maserati,2011," 59,910 ","62,306",Black,Convertible
22,2011 Audi A5,Audi,2011," 13,995 ","14,555",Blue,Convertible
23,2007 Mercedes-Benz CLK,Mercedes-Benz,2007," 18,988 ","19,748",Gray,Convertible
24,1990 Chevrolet Corvette,Chevrolet,1990," 13,999 ","14,559",Red,Convertible
25,2014 Jeep Wrangler,Jeep,2014," 23,800 ","24,752",Bright White Clearcoat,Convertible
26,2018 Jeep Wrangler,Jeep,2018," 33,800 ","35,152",FIRECRACKER RED,Convertible
27,2001 Chevrolet Corvette,Chevrolet,2001," 20,400 ","21,216",Speedway White,Convertible
28,2019 Jeep Wrangler,Jeep,2019," 57,795 ","60,107",FIRECRACKER RED,Convertible
29,2007 BMW 328i,BMW,2007," 22,885 ","23,800",Alpine White,Convertible
30,2015 Jeep Wrangler,Jeep,2015," 25,998 ","27,038",Black,Convertible
31,2022 Mercedes-Benz SL-Class,Mercedes-Benz,2022," 228,855 ","238,009",MANUFAKTUR OPALITH WHITE MET,Convertible
32,2021 Mazda Miata MX-5,Mazda,2021," 45,000 ","46,800",Jet Black Mica,Convertible
33,2019 BMW i8,BMW,2019," 146,888 ","152,764",White,Convertible
34,2022 Ford Bronco,Ford,2022," 65,229 ","67,838",Cyber Orange Metallic Tri-Coat,Convertible
35,1976 Triumph Spitfire,Triumph,1976," 11,888 ","12,364",Yellow,Convertible
36,2019 Jeep Wrangler,Jeep,2019," 54,995 ","57,195",Yellow,Convertible
37,2018 Jeep Wrangler,Jeep,2018," 39,995 ","41,595",Granite Crystal Metallic Clearcoat,Convertible
38,2020 Ford Mustang,Ford,2020," 35,995 ","37,435",Blue,Convertible
39,2012 Fiat 500,Fiat,2012," 9,958 ","10,356",Brown,Convertible
40,2021 Jeep Wrangler,Jeep,2021," 69,995 ","72,795",Sting-Grey,Convertible
